Time (s),Load (N),Tensile strain (Extension) (mm/mm),Tensile extension (mm),Tensile stress (MPa),Sample,Mix
6.9,451.10538,0.07667,1.15,44.50087,2,2
7,450.51727,0.07777,1.16662,44.44286,2,2
7.1,449.61505,0.07887,1.18312,44.35386,2,2
7.2,448.672,0.08,1.20006,44.26083,2,2
7.3,447.27673,0.08112,1.21675,44.12318,2,2
7.4,445.67883,0.08222,1.23325,43.96555,2,2
7.5,444.15976,0.08333,1.25,43.8157,2,2
7.6,442.23303,0.08445,1.26681,43.62563,2,2
7.7,440.14273,0.08555,1.28325,43.41943,2,2
7.8,437.94293,0.08666,1.29994,43.20242,2,2
7.9,435.65942,0.08778,1.31675,42.97715,2,2
8,433.16739,0.08889,1.33337,42.73132,2,2
8.1,431.10553,0.09001,1.35012,42.52792,2,2
8.2,428.54962,0.0911,1.3665,42.27578,2,2
8.3,426.09698,0.09222,1.38331,42.03384,2,2
8.4,423.86041,0.09334,1.40012,41.8132,2,2
8.5,421.42603,0.09444,1.41656,41.57305,2,2
8.6,418.94666,0.09555,1.43325,41.32846,2,2
8.7,416.71194,0.09667,1.45012,41.10801,2,2
8.8,414.44977,0.09778,1.46669,40.88485,2,2
8.9,412.21933,0.0989,1.48344,40.66483,2,2
9,409.95172,0.1,1.49994,40.44113,2,2
9.1,407.87305,0.10112,1.51675,40.23607,2,2
9.2,406.00034,0.10222,1.53337,40.05133,2,2
9.3,403.94455,0.10332,1.54975,39.84853,2,2
9.4,402.15118,0.10445,1.56675,39.67162,2,2
9.5,400.15573,0.10556,1.58337,39.47477,2,2
9.6,398.54263,0.10666,1.59994,39.31564,2,2
9.7,396.46207,0.10777,1.61662,39.11039,2,2
9.8,395.01181,0.10889,1.63331,38.96733,2,2
9.9,393.40067,0.11001,1.65012,38.80839,2,2
10,391.78711,0.11111,1.66662,38.64922,2,2
10.1,390.41367,0.11221,1.68312,38.51373,2,2
10.2,389.01569,0.11335,1.70019,38.37582,2,2
10.3,387.8512,0.11445,1.71675,38.26094,2,2
10.4,386.37045,0.11555,1.73325,38.11487,2,2
10.5,385.04779,0.11667,1.75006,37.98439,2,2
10.6,384.08984,0.11778,1.76669,37.88989,2,2
10.7,382.7886,0.11889,1.78337,37.76153,2,2
10.8,381.76068,0.12,1.79994,37.66013,2,2
10.9,380.48605,0.12111,1.81662,37.53439,2,2
11,379.76141,0.12222,1.83337,37.4629,2,2
11.1,378.77097,0.12334,1.85012,37.36519,2,2
11.2,377.49701,0.12443,1.8665,37.23952,2,2
11.3,376.94852,0.12556,1.88344,37.18541,2,2
11.4,375.97247,0.12667,1.90006,37.08913,2,2
11.5,374.95905,0.12777,1.91656,36.98915,2,2
11.6,374.11499,0.12888,1.93325,36.90589,2,2
11.7,373.47079,0.13,1.95,36.84234,2,2
11.8,372.72018,0.13112,1.96675,36.76829,2,2
11.9,372.07773,0.13222,1.98331,36.70491,2,2
12,371.22598,0.13332,1.99987,36.62089,2,2
12.1,370.54593,0.13445,2.01681,36.55381,2,2
12.2,369.9906,0.13555,2.03331,36.49902,2,2
12.3,369.11465,0.13666,2.04987,36.41261,2,2
12.4,368.81934,0.13778,2.06675,36.38348,2,2
12.5,367.98691,0.13889,2.08337,36.30136,2,2
12.6,367.3421,0.14,2.10006,36.23775,2,2
12.7,366.98566,0.14111,2.11669,36.20259,2,2
12.8,366.25122,0.14222,2.13331,36.13014,2,2
12.9,365.85239,0.14334,2.15012,36.09079,2,2
13,365.42233,0.14444,2.16662,36.04837,2,2
13.1,364.93762,0.14554,2.18312,36.00055,2,2
13.2,364.54666,0.14668,2.20019,35.96199,2,2
13.3,364.07819,0.14777,2.21662,35.91577,2,2
13.4,363.59396,0.14889,2.23331,35.868,2,2
13.5,363.05554,0.15,2.25,35.81489,2,2
13.6,362.78967,0.15111,2.26669,35.78866,2,2
13.7,362.26434,0.15222,2.28331,35.73684,2,2
13.8,362.15213,0.15333,2.29994,35.72577,2,2
13.9,361.77368,0.15445,2.31669,35.68843,2,2
14,361.22873,0.15556,2.33344,35.63468,2,2
14.1,360.92609,0.15666,2.34994,35.60482,2,2
14.2,360.20093,0.15777,2.36656,35.53329,2,2
14.3,360.37396,0.1589,2.38344,35.55036,2,2
14.4,360.02155,0.16,2.4,35.51559,2,2
14.5,359.62601,0.16111,2.41669,35.47657,2,2
14.6,359.38669,0.16222,2.43325,35.45296,2,2
14.7,359.17331,0.16334,2.45006,35.43192,2,2
